"id","label","wkt","literature","spatialtype"
61,"Kisiljevo (Serbia)","POINT(21.3912 44.7397)","Baykal et al., 2018","UnknownCategory"
62,"Tabula Traiana (Serbia)","POINT(22.3094 44.6568)","Boric et al., 2012;Lowe et al., 2012","ArchaeologicalSite"
63,"Titel Pleateau (Serbia)","POINT(20.3026 45.2034)","Baykal et al., 2018","ArchaeologicalSite"
64,"Southern Ukraine","POINT(31.8000 47.4300)","Fitzsimmons et al., 2013","ModernRegion"
65,"Haua-Fteah (Libya)","POINT(22.0516 32.9002)","Lowe et al., 2012","Cave;ArchaeologicalSite"
101,"Orlovat","POINT(20.5809 45.2417)","Obreht, I. et al. (2017), Fig. 1;Obreht, I. et al. (2015)","UnknownCategory"
102,"Stalać","POINT(21.4058 43.6728)","Obreht, I. et al. (2017), Fig. 1;Obreht, I. et al. (2016)","UnknownCategory"
103,"Dunaszekcső","POINT(18.7587 46.0874)","Obreht, I. et al. (2017), Fig. 1;Újvári, G. Et al. (2016)","UnknownCategory"
104,"Batajnica","POINT(20.2802 44.9032)","Obreht, I. et al. (2017), Fig. 1;Buggle, B. et al. (2013);Buggle, B. et al. (2014)","UnknownCategory"
105,"Rasova","POINT(27.9347 44.2462)","Obreht, I. et al. (2017), Fig. 1;Zeeden, C. et al. (2018)","UnknownCategory"
106,"Lake Prespa","POINT(21.0000 40.9167)","Obreht, I. et al. (2017), Fig. 1;Panagiotopoulos, K. (2014)","Lake"
