"id","label","relatedto","relatedtohow","source","sourcetype","spatialtype","methodtype","georeferencingby","georeferencingdesc","certainty","literature","wkt"
106,"Lake Prespa","https://sws.geonames.org/786766","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Lake","fsl:Georeferencing","https://orcid.org/0000-0002-3246-3531","set a representative point based on scientific papers using GeoNames","fsl:medium","Obreht, I. et al. (2017), Fig. 1;Panagiotopoulos, K. (2014)","POINT(21.0 40.91667)"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,41,,
,,,,,,,,,,42,,
,,,,,,,,,,43,,
,,,,,,,,,,44,,
,,,,,,,,,,45,,
,,,,,,,,,,46,,
,,,,,,,,,,47,,
,,,,,,,,,,48,,
,,,,,,,,,,49,,
,,,,,,,,,,50,,
,,,,,,,,,,51,,
,,,,,,,,,,52,,
,,,,,,,,,,53,,
,,,,,,,,,,54,,
,,,,,,,,,,56,,
,,,,,,,,,,57,,
,,,,,,,,,,60,,
,,,,,,,,,,61,,
,,,,,,,,,,62,,
,,,,,,,,,,63,,
,,,,,,,,,,65,,
